label,ccode,region,pop,qu,de,ar,aq,lng,lat,arid,capacity,delivery
Buenaventura,COL,6,248,3,3,3,1,-77.025,3.862,6.233,3.32,2193
Sebha,LBY,1,54,1,2,1,1,14.462,27.004,0.004,0.36,6319
Dongola,SDN,1,167,4,4,4,1,30.461,19.184,0.004,6.96,404
Merowe,SDN,1,177,2,4,3,1,31.848,18.563,0.009,2.24,404
Nouadhibou,MRT,1,75,3,4,3,1,-17.035,20.844,0.01,2.58,689
AsSuways,EGY,1,304,1,3,2,1,32.477,29.847,0.013,0.77,2158
al_Asir_mir_Ramadan,EGY,1,78,2,3,2,1,31.758,30.275,0.015,1.94,1515
Berber,SDN,1,144,4,4,4,1,33.996,18.029,0.018,14.11,486
Tamenghest,DZA,1,69,1,3,2,1,5.521,22.788,0.024,0.96,3261
cAtbarah,SDN,1,211,2,4,3,1,33.996,17.663,0.024,2.23,598
Ouargla,DZA,1,187,1,1,1,1,5.246,31.954,0.028,0.54,23669
Laayoune,MAR,1,172,2,3,2,1,-13.192,27.154,0.029,2.2,1307
Namibe,AGO,1,68,2,4,3,1,12.165,-15.187,0.037,1.34,697
Port_Sudan,SDN,1,256,2,4,3,1,37.207,19.528,0.04,2.39,589
Sandi,SDN,1,91,1,3,2,1,33.437,16.677,0.042,0.76,1195
Berbera,SOM,1,128,3,4,3,1,45.023,10.438,0.045,4.35,178
Bur_Said,EGY,1,189,3,3,3,1,32.263,31.274,0.046,4.55,2364
Touggourt,DZA,1,176,1,2,1,1,6.054,33.146,0.047,0.76,6097
El_Qued,DZA,1,191,1,3,2,1,6.875,33.425,0.047,0.53,2680
Nouakchott,MRT,1,157,2,4,3,1,-15.945,18.092,0.056,1.82,214
Jibuti,DJI,1,488,4,4,4,1,43.133,11.55,0.057,12.37,342
AlMatariyah,EGY,1,250,3,3,3,1,31.876,31.179,0.058,5.39,1796
Tan_Tan,MAR,1,54,2,3,2,1,-11.092,28.438,0.061,1.1,1455
Tubruq,LBY,1,110,2,2,2,1,23.954,32.058,0.076,1.66,6377
Al'Arish,EGY,1,120,2,3,2,1,33.767,31.108,0.076,1.57,1034
Errachidia,MAR,1,69,1,3,2,1,-4.421,31.938,0.083,0.98,1753
Upington,ZAF,1,64,1,2,1,1,21.25,-28.454,0.095,0.54,4753
Guelmim,MAR,1,85,2,3,2,1,-10.042,28.996,0.095,1.29,1710
