"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	82	10616	772.4
	"Baldwin County, AL"	"01003"	233	34911	667.4
	"Barbour County, AL"	"01005"	54	5690	949.0
	"Bibb County, AL"	"01007"	51	4731	1078.0
	"Blount County, AL"	"01009"	83	12070	687.7
	"Bullock County, AL"	"01011"	26	2486	1045.9
	"Butler County, AL"	"01013"	37	4529	817.0
	"Calhoun County, AL"	"01015"	206	23848	863.8
	"Chambers County, AL"	"01017"	51	7034	725.0
	"Cherokee County, AL"	"01019"	35	4504	777.1
	"Chilton County, AL"	"01021"	94	9789	960.3
	"Choctaw County, AL"	"01023"	14	2700	518.5 (Unreliable)
	"Clarke County, AL"	"01025"	46	5511	834.7
	"Clay County, AL"	"01027"	23	2750	836.4
	"Cleburne County, AL"	"01029"	19	2984	636.7 (Unreliable)
	"Coffee County, AL"	"01031"	77	10726	717.9
	"Colbert County, AL"	"01033"	98	10444	938.3
	"Conecuh County, AL"	"01035"	32	2813	1137.6
	"Coosa County, AL"	"01037"	24	1831	1310.8
	"Covington County, AL"	"01039"	55	7558	727.7
	"Crenshaw County, AL"	"01041"	22	2666	825.2
	"Cullman County, AL"	"01043"	109	16829	647.7
	"Dale County, AL"	"01045"	79	12249	645.0
	"Dallas County, AL"	"01047"	90	11019	816.8
	"DeKalb County, AL"	"01049"	107	16067	666.0
	"Elmore County, AL"	"01051"	114	16226	702.6
	"Escambia County, AL"	"01053"	81	8111	998.6
	"Etowah County, AL"	"01055"	203	21561	941.5
	"Fayette County, AL"	"01057"	24	3448	696.1
	"Franklin County, AL"	"01059"	69	7677	898.8
	"Geneva County, AL"	"01061"	31	5225	593.3
	"Greene County, AL"	"01063"	22	2067	1064.3
	"Hale County, AL"	"01065"	35	3691	948.3
	"Henry County, AL"	"01067"	18	3161	569.4 (Unreliable)
	"Houston County, AL"	"01069"	182	21930	829.9
	"Jackson County, AL"	"01071"	90	10398	865.6
	"Jefferson County, AL"	"01073"	1778	151130	1176.5
	"Lamar County, AL"	"01075"	24	2779	863.6
	"Lauderdale County, AL"	"01077"	119	16777	709.3
	"Lawrence County, AL"	"01079"	48	6920	693.6
	"Lee County, AL"	"01081"	206	27704	743.6
	"Limestone County, AL"	"01083"	109	16329	667.5
	"Lowndes County, AL"	"01085"	28	2790	1003.6
	"Macon County, AL"	"01087"	54	3913	1380.0
	"Madison County, AL"	"01089"	542	66274	817.8
	"Marengo County, AL"	"01091"	56	4409	1270.1
	"Marion County, AL"	"01093"	57	5828	978.0
	"Marshall County, AL"	"01095"	196	21108	928.6
	"Mobile County, AL"	"01097"	918	97229	944.2
	"Monroe County, AL"	"01099"	41	4981	823.1
	"Montgomery County, AL"	"01101"	539	54291	992.8
	"Morgan County, AL"	"01103"	209	24410	856.2
	"Perry County, AL"	"01105"	29	2490	1164.7
	"Pickens County, AL"	"01107"	51	4456	1144.5
	"Pike County, AL"	"01109"	69	6520	1058.3
	"Randolph County, AL"	"01111"	44	4539	969.4
	"Russell County, AL"	"01113"	139	13089	1062.0
	"St. Clair County, AL"	"01115"	137	16900	810.7
	"Shelby County, AL"	"01117"	265	40280	657.9
	"Sumter County, AL"	"01119"	57	2814	2025.6
	"Talladega County, AL"	"01121"	182	16597	1096.6
	"Tallapoosa County, AL"	"01123"	77	8287	929.2
	"Tuscaloosa County, AL"	"01125"	449	38582	1163.8
	"Walker County, AL"	"01127"	152	14204	1070.1
	"Washington County, AL"	"01129"	32	3203	999.1
	"Wilcox County, AL"	"01131"	31	2851	1087.3
	"Winston County, AL"	"01133"	43	4471	961.8
	"Anchorage Borough, AK"	"02020"	413	74977	550.8
	"Bethel Census Area, AK"	"02050"	87	6363	1367.3
	"Dillingham Census Area, AK"	"02070"	15	1628	921.4 (Unreliable)
	"Fairbanks North Star Borough, AK"	"02090"	135	26341	512.5
	"Juneau Borough, AK"	"02110"	39	6508	599.3
	"Kenai Peninsula Borough, AK"	"02122"	58	11267	514.8
	"Ketchikan Gateway Borough, AK"	"02130"	19	3112	610.5 (Unreliable)
	"Kodiak Island Borough, AK"	"02150"	22	3814	576.8
