name,id,nametype,recclass,mass (g),fall,year,reclat,reclong
Mbosi,15456,Valid,"Iron, ungrouped",16000000,Found,1/1/30 00:00,-9.11667,33.06667
Paragould,18101,Valid,LL5,408000,Fell,1/1/30 00:00,36.06667,-90.5
Bencubbin,5014,Valid,CBa,118000,Found,1/1/30 00:00,-30.75,117.78333
Uwharrie,24139,Valid,"Iron, IIIAB",72700,Found,1/1/30 00:00,35.51667,-79.96667
Landes,12457,Valid,"Iron, IAB-MG",69800,Found,1/1/30 00:00,38.9,-79.18333
Miami,16630,Valid,H5,57700,Found,1/1/30 00:00,35.66667,-100.6
Karoonda,12264,Valid,CK4,41730,Fell,1/1/30 00:00,-35.08333,139.91667
Miller (Arkansas),16645,Valid,H5,16700,Fell,1/1/30 00:00,35.4,-92.05
Tell,23893,Valid,H6,16600,Found,1/1/30 00:00,34.38333,-100.4
Oldenburg (1930),18009,Valid,L6,16570,Fell,1/1/30 00:00,52.95,8.16667
Moorleah,16738,Valid,L6,8887.5,Fell,1/1/30 00:00,-40.975,145.6
Lillaverke,14650,Valid,H5,6862,Fell,1/1/30 00:00,56.65,15.86667
Borrego,5115,Valid,L6,2126,Found,1/1/30 00:00,33.26667,-116.38333
Plantersville,18846,Valid,H6,2085,Fell,1/1/30 00:00,30.7,-96.11667
Aguada,398,Valid,L6,1620,Fell,1/1/30 00:00,-31.6,-65.23333
Boriskino,5112,Valid,CM2,1342,Fell,1/1/30 00:00,54.23333,52.48333
Gyokukei,11467,Valid,OC,1320,Fell,1/1/30 00:00,35,127.5
Henbury,11872,Valid,"Iron, IIIAB",2000000,Found,1/1/31 00:00,-24.56667,133.16667
Springwater,23692,Valid,"Pallasite, PMG-an",67600,Found,1/1/31 00:00,52,-108.3
Bear Lodge,4983,Valid,"Iron, IIIAB",48500,Found,1/1/31 00:00,44.5,-104.2
Osseo,18037,Valid,"Iron, IAB complex",46300,Found,1/1/31 00:00,47.63333,-80.08333
Ioka,12040,Valid,L3.5,31500,Found,1/1/31 00:00,40.25,-110.08333
Alikatnima,471,Valid,"Iron, ungrouped",20000,Found,1/1/31 00:00,-23.33333,134.11667
Bruno,5158,Valid,"Iron, IIAB",13000,Found,1/1/31 00:00,52.26667,-105.35
Tatahouine,23884,Valid,Diogenite,12000,Fell,1/1/31 00:00,32.95,10.41667
Landor,12458,Valid,Iron,9000,Found,1/1/31 00:00,-25.66667,117
Yukan,30377,Valid,LL6,4800,Fell,1/1/31 00:00,28.71667,116.61667
Pine River,18826,Valid,"Iron, IAB-sLL",3600,Found,1/1/31 00:00,44.21667,-89.1
Clareton,5371,Valid,L6,1050,Found,1/1/31 00:00,43.7,-104.7
Lafayette (stone),12412,Valid,Martian (nakhlite),800,Found,1/1/31 00:00,40.41667,-86.88333
Guanghua,11434,Valid,"Iron, IVA",190000,Found,1/1/32 00:00,32.4,111.7
Wagon Mound,24196,Valid,L6,87500,Found,1/1/32 00:00,35.84083,-104.58583
Kyancutta,12386,Valid,"Iron, IIIAB",32700,Found,1/1/32 00:00,-33.28333,136
Deelfontein,6636,Valid,"Iron, IAB-MG",28000,Found,1/1/32 00:00,-30.18333,23.26667
Gualeguaychí_,11432,Valid,H6,22000,Fell,1/1/32 00:00,-33,-58.61667
Baquedano,4939,Valid,"Iron, IIIAB",22000,Found,1/1/32 00:00,-23.3,-69.88333
Altonah,2286,Valid,"Iron, IVA",21500,Found,1/1/32 00:00,40.56667,-110.48333
Nordheim,16992,Valid,"Iron, ungrouped",15150,Found,1/1/32 00:00,28.86667,-97.61667
Lanton,12463,Valid,"Iron, IIIAB",13780,Found,1/1/32 00:00,36.53333,-91.8
Cowell,5457,Valid,"Iron, IIIAB",5717,Found,1/1/32 00:00,-33.3,136.01667
Archie,2329,Valid,H6,5070,Fell,1/1/32 00:00,38.5,-94.3
Kuznetzovo,12385,Valid,L6,4047,Fell,1/1/32 00:00,55.2,75.33333
Khanpur,12289,Valid,LL5,3698,Fell,1/1/32 00:00,25.55,83.11667
Khor Temiki,12299,Valid,Aubrite,3200,Fell,1/1/32 00:00,16,36
Prambachkirchen,18883,Valid,L6,2125,Fell,1/1/32 00:00,48.3025,13.94083
Douar Mghila,7723,Valid,LL6,1161,Fell,1/1/32 00:00,32.33333,-6.3
Boerne,5095,Valid,H6,1100,Found,1/1/32 00:00,29.8,-98.8
Cushing,5499,Valid,H4,567,Found,1/1/32 00:00,35.96667,-96.76667
Lake Murray,12446,Valid,"Iron, IIAB",270000,Found,1/1/33 00:00,34.1,-97
Pervomaisky,18798,Valid,L6,66000,Fell,1/1/33 00:00,56.63333,39.43333
Roy (1933),22774,Valid,L5,47200,Found,1/1/33 00:00,35.95,-104.2
Harrisonville,11844,Valid,L6,46500,Found,1/1/33 00:00,38.65,-94.33333
Zemaitkiemis,30399,Valid,L6,44100,Fell,1/1/33 00:00,55.3,25
Melrose (a),15475,Valid,L5,36400,Found,1/1/33 00:00,34.38333,-103.61667
La Lande,12400,Valid,L5,30000,Found,1/1/33 00:00,34.45,-104.13333
Chajari,5316,Valid,L5,18300,Fell,1/1/33 00:00,-30.78333,-58.05
Holyoke,11900,Valid,H4,11200,Found,1/1/33 00:00,40.56667,-102.3
Cherokee Springs,5340,Valid,LL6,8400,Fell,1/1/33 00:00,35.03333,-81.88333
Phum Sambo,18811,Valid,H4,7800,Fell,1/1/33 00:00,12,105.48333
