country,lat,lng,co2
China,35.86166,104.195397,10357
United States of America,37.09024,-95.712891,5414
India,20.593684,78.96288,2274
Russian Federation,61.52401,105.318756,1617
Japan,36.204824,138.252924,1237
Germany,51.165691,10.451526,798
Iran,32.427908,53.688046,647
Saudi Arabia,23.885942,45.079162,601
South Korea,35.907757,127.766922,592
Canada,56.130366,-106.346771,557
Indonesia,-0.789275,113.921327,537
Brazil,-14.235004,-51.92528,515
Mexico,23.634501,-102.552784,472
South Africa,-30.559482,22.937506,462
United Kingdom,55.378051,-3.435973,417
Australia,-25.274398,133.775136,400
Turkey,38.963745,35.243322,386
Italy,41.87194,12.56738,361
France,46.227638,2.213749,340
Poland,51.919438,19.145136,316
Thailand,15.870032,100.992541,312
Spain,40.463667,-3.74922,273
Taiwan,23.69781,120.960515,263
Malaysia,4.210484,101.975766,249
Kazakhstan,48.019573,66.923684,235
Egypt,26.820553,30.802498,219
Ukraine,48.379433,31.16558,202
Argentina,-38.416097,-63.616672,193
Vietnam,14.058324,108.277199,184
United Arab Emirates,23.424076,53.847818,176
Venezuela,6.42375,-66.58973,175
Iraq,33.223191,43.679291,172
Pakistan,30.375321,69.345116,171
Netherlands,52.132633,5.291266,162
Algeria,28.033886,1.659626,150
Philippines,12.879721,121.774017,113
Uzbekistan,41.377491,64.585262,109
Nigeria,9.081999,8.675277,104
Kuwait,29.31166,47.481766,102
Belgium,50.503887,4.469936,100
Colombia,4.570868,-74.297333,99
Czech Republic,49.817492,15.472962,96
Qatar,25.354826,51.183884,91
Turkmenistan,38.969719,59.556278,91
Chile,-35.675147,-71.542969,81
Bangladesh,23.684994,90.356331,76
Greece,39.074208,21.824312,76
Romania,45.943161,24.96676,75
Israel,31.046051,34.851612,72
Austria,47.516231,14.550072,67
Morocco,31.791702,-7.09262,63
Oman,21.4735329,55.975413,63
Belarus,53.709807,27.953389,61
Peru,-9.189967,-75.015152,60
Singapore,1.352083,103.819836,55
Libya,26.3351,17.228331,54
North Korea,40.339852,127.510093,54
Portugal,39.399872,-8.224454,51
Bulgaria,42.733883,25.48583,48
Hong Kong,22.396428,114.109497,48
Hungary,47.162494,19.503304,46
Trinidad and Tobago,10.691803,-61.222503,45
Mongolia,46.862496,103.846656,45
Serbia,44.016521,21.005859,44
Ecuador,-1.831239,-78.183406,44
Norway,60.472024,8.468946,44
Finland,61.92411,25.748151,44
Sweden,60.128161,18.643501,43
Cuba,21.521757,-77.781167,41
Switzerland,46.818188,8.227512,40
Azerbaijan,40.143105,47.576927,38
Ireland,53.1423672,-7.6920536,37
Syria,34.802075,38.996815,37
New Zealand,-40.900557,174.885971,36
Denmark,56.26392,9.501785,35
Slovakia,48.669026,19.699024,34
Bahrain,26.0667,50.5577,33
Angola,-11.202692,17.873887,33
Tunisia,33.886917,9.537499,31
Yemen,15.552727,48.516388,26
Jordan,30.585164,36.238414,26
Dominican Republic,18.735693,-70.162651,23
Lebanon,33.854721,35.862285,23
Afghanistan,33.93911,67.709953,23
Bosnia and Herzegovina,43.915886,17.679076,22
Bolivia,-16.290154,-63.588653,21
Estonia,58.595272,25.013607,20
Croatia,45.1,15.2,18
Sri Lanka,7.873054,80.771797,17
Zimbabwe,-19.015438,29.154857,17
Sudan,12.862807,30.217636,16
Ghana,7.946527,-1.023194,15
Guatemala,15.783471,-90.230759,14
Myanmar,21.916221,95.955974,14
Slovenia,46.151241,14.995463,14
Kenya,-0.023559,37.906193,14
Lithuania,55.169438,23.881275,13
Tanzania,-6.369028,34.888822,11
Ethiopia,9.145,40.489673,11
Panama,8.537981,-80.782127,11
C̫te d'Ivoire,7.539989,-5.54708,10
Luxembourg,49.815273,6.129583,10
Kyrgyzstan,41.20438,74.766098,10
Honduras,15.199999,-86.241905,10
Brunei Darussalam,4.535277,114.727669,9
Senegal,14.497401,-14.452362,9
Macedonia (Republic of),41.608635,21.745275,8
Jamaica,18.109581,-77.297508,8
Costa Rica,9.748917,-83.753428,8
Uruguay,-32.522779,-55.765835,8
Georgia,32.1656221,-82.9000751,8
Latvia,56.879635,24.603189,7
Cameroon,7.369722,12.354722,7
Cyprus,35.126413,33.429859,7
Nepal,28.394857,84.124008,7
El Salvador,13.794185,-88.89653,7
Papua New Guinea,-6.314993,143.95555,7
Equatorial Guinea,1.650801,10.267895,6
Botswana,-22.328474,24.684866,6
Cambodia,12.565679,104.990963,6
Benin,9.30769,2.315834,6
Armenia,40.069099,45.038189,6
Cura̤ao,12.16957,-68.99002,5
Paraguay,-23.442503,-58.443832,5
Uganda,1.373333,32.290275,5
Moldova,47.411631,28.369885,5
Gabon,-0.803689,11.609444,5
R̩union,-21.115141,55.536384,5
Albania,41.153332,20.168331,5
Nicaragua,12.865416,-85.207229,5
Mauritius,-20.348404,57.552152,4
Mozambique,-18.665695,35.529562,4
New Caledonia,-20.904305,165.618042,4
Zambia,-13.133897,27.849332,4
Tajikistan,38.861034,71.276093,4
Madagascar,-18.766947,46.869107,3
Iceland,64.963051,-19.020835,3
Bahamas,25.03428,-77.39628,3
Burkina Faso,12.238333,-1.561593,3
Namibia,-22.95764,18.49041,3
Democratic Republic of the Congo,-4.038333,21.758664,3
Lesotho,-29.609988,28.233608,3
Mauritania,21.00789,-10.940835,3
Congo,-4.3006079,15.3123157,3
Martinique,14.641528,-61.024174,3
Haiti,18.971187,-72.285215,3
Malta,35.937496,14.375416,3
Macao,22.198745,113.543873,2
Guinea,9.945587,-9.696645,2
Laos,19.85627,102.495496,2
Togo,8.619543,0.824782,2
Montenegro,42.708678,19.37439,2
Guadeloupe,16.265,-61.551,2
